"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 30 19:02:15 UTC 2026","Mon Mar 30 19:02:27 UTC 2026","11526","","com.swaglab.users.StandardUserTest","","com.swaglab.users.StandardUserTest","continueShoppingFromCart","Standard user can continue shopping from cart",""
"passed","Mon Mar 30 19:01:49 UTC 2026","Mon Mar 30 19:01:50 UTC 2026","1270","","com.swaglab.smoke.ProductsPageTest","","com.swaglab.smoke.ProductsPageTest","sortByPriceLowToHighTest","Sort products by price low to high",""
"passed","Mon Mar 30 19:01:54 UTC 2026","Mon Mar 30 19:01:55 UTC 2026","884","","com.swaglab.smoke.LoginTest","","com.swaglab.smoke.LoginTest","emptyUsernameTest","Login fails with empty username",""
"passed","Mon Mar 30 19:02:27 UTC 2026","Mon Mar 30 19:02:28 UTC 2026","1095","","com.swaglab.users.StandardUserTest","","com.swaglab.users.StandardUserTest","viewAllProducts","Standard user can view all products",""
"passed","Mon Mar 30 19:02:28 UTC 2026","Mon Mar 30 19:02:29 UTC 2026","1078","","com.swaglab.users.StandardUserTest","","com.swaglab.users.StandardUserTest","loginSuccessfully","Standard user can log in successfully",""
"passed","Mon Mar 30 19:02:12 UTC 2026","Mon Mar 30 19:02:14 UTC 2026","2605","","com.swaglab.regression.CartTest","","com.swaglab.regression.CartTest","cartPersistsAfterNavigationTest","Cart persists items after navigating away",""
"passed","Mon Mar 30 19:02:12 UTC 2026","Mon Mar 30 19:02:13 UTC 2026","1115","","com.swaglab.users.StandardUserTest","","com.swaglab.users.StandardUserTest","sortProducts","Standard user can sort products",""
"failed","Mon Mar 30 19:02:49 UTC 2026","Mon Mar 30 19:03:01 UTC 2026","11638","","com.swaglab.regression.CheckoutTest","","com.swaglab.regression.CheckoutTest","missingFirstNameValidationTest","Checkout step one shows error for missing first name",""
"passed","Mon Mar 30 19:02:08 UTC 2026","Mon Mar 30 19:02:09 UTC 2026","984","","com.swaglab.smoke.LoginTest","","com.swaglab.smoke.LoginTest","invalidPasswordTest","Login fails with wrong password",""
"failed","Mon Mar 30 19:02:14 UTC 2026","Mon Mar 30 19:02:26 UTC 2026","11690","","com.swaglab.regression.CartTest","","com.swaglab.regression.CartTest","removeItemFromCartTest","Remove item from cart",""
"failed","Mon Mar 30 19:03:01 UTC 2026","Mon Mar 30 19:03:13 UTC 2026","11544","","com.swaglab.regression.CheckoutTest","","com.swaglab.regression.CheckoutTest","cancelCheckoutTest","Cancel checkout returns to cart",""
"failed","Mon Mar 30 19:02:31 UTC 2026","Mon Mar 30 19:02:42 UTC 2026","11411","","com.swaglab.users.StandardUserTest","","com.swaglab.users.StandardUserTest","addProductsToCart","Standard user can add products to cart",""
"passed","Mon Mar 30 19:02:10 UTC 2026","Mon Mar 30 19:02:12 UTC 2026","1994","","com.swaglab.regression.CartTest","","com.swaglab.regression.CartTest","addSingleItemToCartTest","Add single item to cart",""
"passed","Mon Mar 30 19:01:52 UTC 2026","Mon Mar 30 19:01:53 UTC 2026","1139","","com.swaglab.smoke.ProductsPageTest","","com.swaglab.smoke.ProductsPageTest","sortByNameZToATest","Sort products by name Z to A",""
"passed","Mon Mar 30 19:01:48 UTC 2026","Mon Mar 30 19:01:55 UTC 2026","7015","","com.swaglab.regression.CartTest","","com.swaglab.regression.CartTest","cartIsEmptyByDefaultTest","Cart is empty by default",""
"failed","Mon Mar 30 19:02:26 UTC 2026","Mon Mar 30 19:02:38 UTC 2026","11669","","com.swaglab.regression.CheckoutTest","","com.swaglab.regression.CheckoutTest","missingPostalCodeValidationTest","Checkout step one shows error for missing postal code",""
"passed","Mon Mar 30 19:02:29 UTC 2026","Mon Mar 30 19:02:31 UTC 2026","1941","","com.swaglab.users.StandardUserTest","","com.swaglab.users.StandardUserTest","removeItemFromCart","Standard user can remove items from cart",""
"passed","Mon Mar 30 19:01:50 UTC 2026","Mon Mar 30 19:01:52 UTC 2026","1779","","com.swaglab.smoke.ProductsPageTest","","com.swaglab.smoke.ProductsPageTest","navigateBackFromDetailsTest","Navigate back to products from details page",""
"passed","Mon Mar 30 19:01:37 UTC 2026","Mon Mar 30 19:01:47 UTC 2026","10447","","com.swaglab.smoke.ProductsPageTest","","com.swaglab.smoke.ProductsPageTest","openProductDetailsTest","Open product details page",""
"passed","Mon Mar 30 19:01:53 UTC 2026","Mon Mar 30 19:01:54 UTC 2026","1068","","com.swaglab.smoke.ProductsPageTest","","com.swaglab.smoke.ProductsPageTest","productsPageLoadsTest","Products page loads with items",""
"passed","Mon Mar 30 19:02:09 UTC 2026","Mon Mar 30 19:02:10 UTC 2026","1023","","com.swaglab.smoke.LoginTest","","com.swaglab.smoke.LoginTest","lockedUserLoginTest","Login fails with locked out user",""
"passed","Mon Mar 30 19:01:55 UTC 2026","Mon Mar 30 19:01:58 UTC 2026","2525","","com.swaglab.regression.CartTest","","com.swaglab.regression.CartTest","continueShoppingTest","Continue shopping from cart returns to products",""
"passed","Mon Mar 30 19:02:07 UTC 2026","Mon Mar 30 19:02:08 UTC 2026","1116","","com.swaglab.smoke.LoginTest","","com.swaglab.smoke.LoginTest","successfulLoginTest","Successful login with standard user",""
"failed","Mon Mar 30 19:01:58 UTC 2026","Mon Mar 30 19:02:10 UTC 2026","11755","","com.swaglab.regression.CartTest","","com.swaglab.regression.CartTest","addMultipleItemsToCartTest","Add multiple items to cart",""
"passed","Mon Mar 30 19:02:14 UTC 2026","Mon Mar 30 19:02:15 UTC 2026","1538","","com.swaglab.users.StandardUserTest","","com.swaglab.users.StandardUserTest","logoutSuccessfully","Standard user can logout successfully",""
"passed","Mon Mar 30 19:02:11 UTC 2026","Mon Mar 30 19:02:12 UTC 2026","1756","","com.swaglab.users.StandardUserTest","","com.swaglab.users.StandardUserTest","viewProductDetails","Standard user can view product details",""
"failed","Mon Mar 30 19:02:38 UTC 2026","Mon Mar 30 19:02:49 UTC 2026","11596","","com.swaglab.regression.CheckoutTest","","com.swaglab.regression.CheckoutTest","missingLastNameValidationTest","Checkout step one shows error for missing last name",""
"passed","Mon Mar 30 19:01:47 UTC 2026","Mon Mar 30 19:01:49 UTC 2026","1764","","com.swaglab.smoke.ProductsPageTest","","com.swaglab.smoke.ProductsPageTest","addToCartFromDetailsTest","Add product to cart from details page",""
"passed","Mon Mar 30 19:02:10 UTC 2026","Mon Mar 30 19:02:11 UTC 2026","901","","com.swaglab.smoke.LoginTest","","com.swaglab.smoke.LoginTest","emptyPasswordTest","Login fails with empty password",""
"failed","Mon Mar 30 19:01:55 UTC 2026","Mon Mar 30 19:02:07 UTC 2026","11435","","com.swaglab.smoke.LoginTest","","com.swaglab.smoke.LoginTest","logoutTest","User can logout successfully",""
